Uid,Contact uid,Subject,Body
95,95,Meeting @Mon,Hi.Monday should work well.
96,96,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
97,97,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
98,98,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
99,99,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
100,100,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
101,101,Meeting @Mon,Hi.Monday should work well.
102,102,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
103,103,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
104,104,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
105,105,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
106,106,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
107,107,Meeting @Mon,Hi.Monday should work well.
108,108,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
109,109,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
110,110,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
111,111,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
112,112,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
113,113,Meeting @Mon,Hi.Monday should work well.
114,114,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
115,115,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
116,116,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
117,117,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
118,118,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
119,119,Meeting @Mon,Hi.Monday should work well.
120,120,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
121,121,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
122,122,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
123,123,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
