Uid,Contact uid,Subject,Body
35,35,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
36,36,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
37,37,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
38,38,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
39,39,Meeting @Mon,Hi.Monday should work well.
40,40,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
41,41,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
42,42,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
43,43,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
44,44,Meeting @Mon,Hi.Monday should work well.
45,45,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
46,46,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
47,47,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
48,48,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
49,49,Meeting @Mon,Hi.Monday should work well.
50,50,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
51,51,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
52,52,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
53,53,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
54,54,Meeting @Mon,Hi.Monday should work well.
55,55,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
56,56,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
57,57,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
58,58,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
59,59,Meeting @Mon,Hi.Monday should work well.
60,60,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
61,61,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
62,62,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
63,63,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
64,64,Meeting @Mon,Hi.Monday should work well.
65,65,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
66,66,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
67,67,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
68,68,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
69,69,Meeting @Mon,Hi.Monday should work well.
70,70,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
71,71,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
72,72,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
73,73,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
74,74,Meeting @Mon,Hi.Monday should work well.
75,75,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
76,76,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
77,77,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
78,78,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
79,79,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
80,80,Meeting @Mon,Hi.Monday should work well.
81,81,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
82,82,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
83,83,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
84,84,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
85,85,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
86,86,Meeting @Mon,Hi.Monday should work well.
87,87,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
88,88,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
89,89,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
90,90,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
91,91,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
92,92,Meeting @Mon,Hi.Monday should work well.
93,93,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
94,94,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
95,95,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
96,96,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
97,97,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
98,98,Meeting @Mon,Hi.Monday should work well.
99,99,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
100,100,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
101,101,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
102,102,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
103,103,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
104,104,Meeting @Mon,Hi.Monday should work well.
105,105,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
106,106,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
107,107,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
108,108,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
109,109,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
110,110,Meeting @Mon,Hi.Monday should work well.
111,111,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
112,112,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
113,113,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
114,114,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
115,115,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
116,116,Meeting @Mon,Hi.Monday should work well.
117,117,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
118,118,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
119,119,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
120,120,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
121,121,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
122,122,Meeting @Mon,Hi.Monday should work well.
123,123,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
124,124,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
125,125,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
126,126,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
127,127,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
128,128,Meeting @Mon,Hi.Monday should work well.
129,129,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
130,130,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
131,131,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
132,132,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
133,133,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
134,134,Meeting @Mon,Hi.Monday should work well.
135,135,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
136,136,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
137,137,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
138,138,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
139,139,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
140,140,Meeting @Mon,Hi.Monday should work well.
141,141,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
142,142,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
143,143,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
144,144,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
145,145,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
146,146,Meeting @Mon,Hi.Monday should work well.
147,147,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
148,148,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
149,149,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
150,150,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
151,151,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
152,152,Meeting @Mon,Hi.Monday should work well.
153,153,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
154,154,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
155,155,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
156,156,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
157,157,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
158,158,Meeting @Mon,Hi.Monday should work well.
159,159,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
160,160,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
161,161,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
162,162,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
163,163,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
164,164,Meeting @Mon,Hi.Monday should work well.
165,165,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
166,166,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
167,167,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
168,168,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
169,169,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
170,170,Meeting @Mon,Hi.Monday should work well.
171,171,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
172,172,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
173,173,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
174,174,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
175,175,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
176,176,Meeting @Mon,Hi.Monday should work well.
177,177,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
178,178,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
179,179,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
180,180,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
181,181,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
182,182,Meeting @Mon,Hi.Monday should work well.
183,183,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
184,184,Welcome to our service,"Hello Mr. We hope to continue doing business with you in the future. Sincerely,"
185,185,Price Notice,"Hello Mr. Season tickets for this year's symphony are going on sale next month and we wanted you to be among the first to know. Sincerely,"
186,186,Thank you for purchase,"Dear Mr. Thank you for purchasing the starter pack of Agel. Sincerely,"
187,187,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
188,188,Meeting @Mon,Hi.Monday should work well.
189,189,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
