Uid,Contact uid,Subject,Body
35,35,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
36,36,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
37,37,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
38,38,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
39,39,Meeting @Mon,Hi.Monday should work well.
40,40,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
41,41,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
42,42,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
43,43,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
44,44,Meeting @Mon,Hi.Monday should work well.
45,45,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
46,46,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
47,47,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
48,48,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
49,49,Meeting @Mon,Hi.Monday should work well.
50,50,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
51,51,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
52,52,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
53,53,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
54,54,Meeting @Mon,Hi.Monday should work well.
55,55,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
56,56,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
57,57,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
58,58,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
59,59,Meeting @Mon,Hi.Monday should work well.
60,60,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
61,61,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
62,62,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
63,63,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
64,64,Meeting @Mon,Hi.Monday should work well.
65,65,Get In Touch,"Thank you for getting in touch with us here! We are excited to learn more about your business. Do you have some free time next week, perhaps Tuesday or Wednesday?"
66,66,Items Left in Cart,Hi.I noticed that you were looking to purchase the following item: Sony 30 HDTV.Are you still looking to purchase this product?
67,67,How did you like your new sparring gear?,Hi.I hope you have enjoyed your new sparring gear!
68,68,Marketing Discussion,Hi.Let's get on a call this Wednesday to discuss how we can improve our joint marketing efforts. What time works best for you?
69,69,Meeting @Mon,Hi.Monday should work well.
